"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1,38.3,38.3,61.7,"Aeugst am Albis (ZH)","Les habitants d'Aeugst am Albis rejettent l'initiative pour la biodiversité avec 61,7 pour cent de non."
2,36,36,64,"Affoltern am Albis (ZH)","C'est non à 64 pour cent à l'initiative pour la biodiversité à Affoltern am Albis."
3,38.4,38.4,61.6,"Bonstetten (ZH)","C'est non à 61,6 pour cent à l'initiative pour la biodiversité à Bonstetten."
4,40.3,40.3,59.7,"Hausen am Albis (ZH)","A Hausen am Albis, les habitants disent non à 59,7 pour cent à l'initiative pour la biodiversité."
5,40.5,40.5,59.5,"Hedingen (ZH)","Les habitants de Hedingen s'opposent à l'initiative pour la biodiversité avec 59,5 pour cent de non."
6,28.7,28.7,71.3,"Kappel am Albis (ZH)","C'est non à 71,3 pour cent à l'initiative pour la biodiversité à Kappel am Albis."
7,37.4,37.4,62.6,"Knonau (ZH)","Les habitants de Knonau s'opposent à l'initiative pour la biodiversité avec 62,6 pour cent de non."
8,35,35,65,"Maschwanden (ZH)","A Maschwanden, les habitants sont défavorables à l'initiative pour la biodiversité avec 65 pour cent des voix."
9,34.7,34.7,65.3,"Mettmenstetten (ZH)","A Mettmenstetten, les habitants disent non à 65,3 pour cent à l'initiative pour la biodiversité."
10,33.1,33.1,66.9,"Obfelden (ZH)","A Obfelden, les habitants disent non à 66,9 pour cent à l'initiative pour la biodiversité."
11,34.8,34.8,65.2,"Ottenbach (ZH)","Les habitants d'Ottenbach s'opposent à l'initiative pour la biodiversité avec 65,2 pour cent de non."
12,47.7,47.7,52.3,"Rifferswil (ZH)","Les habitants de Rifferswil s'opposent à l'initiative pour la biodiversité avec 52,3 pour cent de non."
13,36,36,64,"Stallikon (ZH)","A Stallikon, les habitants disent non à 64 pour cent à l'initiative pour la biodiversité."
14,35,35,65,"Wettswil am Albis (ZH)","Les habitants de Wettswil am Albis rejettent l'initiative pour la biodiversité avec 65 pour cent de non."
22,18.8,18.8,81.2,"Benken (ZH)","L'initiative pour la biodiversité ne passe pas la rampe à Benken (ZH) avec 81,2 pour cent de non."
23,26.1,26.1,73.9,"Berg am Irchel (ZH)","C'est non à 73,9 pour cent à l'initiative pour la biodiversité à Berg am Irchel."
24,22.7,22.7,77.3,"Buch am Irchel (ZH)","L'initiative pour la biodiversité échoue à Buch am Irchel avec 77,3 pour cent des suffrages."
25,38.6,38.6,61.4,"Dachsen (ZH)","L'initiative pour la biodiversité échoue à Dachsen avec 61,4 pour cent des suffrages."
26,21.7,21.7,78.3,"Dorf (ZH)","A Dorf, les habitants sont défavorables à l'initiative pour la biodiversité avec 78,3 pour cent des voix."
27,36.8,36.8,63.2,"Feuerthalen (ZH)","C'est non à 63,2 pour cent à l'initiative pour la biodiversité à Feuerthalen."
28,20.9,20.9,79.1,"Flaach (ZH)","Les habitants de Flaach rejettent l'initiative pour la biodiversité avec 79,1 pour cent de non."
29,41.9,41.9,58.1,"Flurlingen (ZH)","C'est non à 58,1 pour cent à l'initiative pour la biodiversité à Flurlingen."
31,29.8,29.8,70.2,"Henggart (ZH)","C'est non à 70,2 pour cent à l'initiative pour la biodiversité à Henggart."
33,29,29,71,"Kleinandelfingen (ZH)","Les habitants de Kleinandelfingen s'opposent à l'initiative pour la biodiversité avec 71 pour cent de non."
34,32.5,32.5,67.5,"Laufen-Uhwiesen (ZH)","C'est non à 67,5 pour cent à l'initiative pour la biodiversité à Laufen-Uhwiesen."
35,27.5,27.5,72.5,"Marthalen (ZH)","Les habitants de Marthalen s'opposent à l'initiative pour la biodiversité avec 72,5 pour cent de non."
37,31,31,69,"Ossingen (ZH)","L'initiative pour la biodiversité ne passe pas la rampe à Ossingen avec 69 pour cent de non."
38,36.7,36.7,63.3,"Rheinau (ZH)","Les habitants de Rheinau rejettent l'initiative pour la biodiversité avec 63,3 pour cent de non."
39,25.8,25.8,74.2,"Thalheim an der Thur (ZH)","Les habitants de Thalheim an der Thur rejettent l'initiative pour la biodiversité avec 74,2 pour cent de non."
40,27.6,27.6,72.4,"Trüllikon (ZH)","L'initiative pour la biodiversité échoue à Trüllikon avec 72,4 pour cent des suffrages."
41,24.9,24.9,75.1,"Truttikon (ZH)","A Truttikon, les habitants disent non à 75,1 pour cent à l'initiative pour la biodiversité."
43,27.2,27.2,72.8,"Volken (ZH)","A Volken, les habitants sont défavorables à l'initiative pour la biodiversité avec 72,8 pour cent des voix."
51,34.3,34.3,65.7,"Bachenbülach (ZH)","L'initiative pour la biodiversité échoue à Bachenbülach avec 65,7 pour cent des suffrages."
52,32,32,68,"Bassersdorf (ZH)","A Bassersdorf, les habitants disent non à 68 pour cent à l'initiative pour la biodiversité."
